CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,color,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,compressionratio,horsepower,peakrpm,citympg,highwaympg,Price
toyota corolla,diesel,std,four,hatchback,fwd,front,95.7,yellow,166.3,64.4,52.8,2275,4.0,110,22.5,56.0,4500,38,47,7788.0
toyota carina,gas,std,four,wagon,4wd,front,95.7,purple,169.7,63.6,59.1,3110,4.0,92,9.0,62.0,4800,27,32,8778.0
toyota corolla,gas,std,two,hatchback,rwd,front,98.4,navy,176.2,65.6,52.0,2714,4.0,146,9.3,116.0,4800,24,30,11549.0
toyota corona,gas,std,two,hatchback,rwd,front,102.9,fuchsia,183.5,67.7,52.0,3016,6.0,171,9.3,161.0,5200,19,24,15998.0
nissan otti,gas,std,four,sedan,fwd,front,100.4,yellow,184.6,66.5,55.1,3060,6.0,181,9.0,152.0,5200,19,25,13499.0
nissan gt-r,diesel,std,two,sedan,fwd,front,94.5,aqua,165.3,63.8,54.5,2017,4.0,103,21.9,55.0,4800,45,50,7099.0
buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,115.6,green,202.6,71.7,56.5,3740,8.0,234,8.3,155.0,4750,16,18,34184.0
audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5,fuchsia,178.2,67.9,52.0,3053,5.0,131,7.0,160.0,5500,16,22,17859.167
saab 99le,gas,std,two,hatchback,fwd,front,99.1,teal,186.6,66.5,56.1,2707,4.0,121,9.3,110.0,5250,21,28,15040.0
bmw x4,gas,std,four,sedan,rwd,front,103.5,yellow,189.0,66.9,55.7,3230,6.0,209,8.0,182.0,5400,16,22,30760.0
mazda 626,gas,std,two,hatchback,fwd,front,98.8,fuchsia,177.8,66.5,53.7,2385,4.0,122,8.6,84.0,4800,26,32,8845.0
maxda glc deluxe,gas,std,two,hatchback,fwd,front,93.1,olive,159.1,64.2,54.1,1900,4.0,91,9.0,68.0,5000,31,38,6095.0
mitsubishi outlander,gas,std,two,hatchback,fwd,front,93.7,black,157.3,64.4,50.8,2004,4.0,92,9.4,68.0,5500,31,38,6669.0
peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.2,teal,198.9,68.4,58.7,3485,4.0,152,21.0,95.0,4150,25,25,17075.0
nissan dayz,gas,std,four,sedan,fwd,front,100.4,aqua,181.7,66.5,55.1,3095,6.0,181,9.0,152.0,5200,17,22,13499.0
peugeot 604sl,diesel,turbo,four,sedan,rwd,front,107.9,green,186.7,68.4,56.7,3252,4.0,152,21.0,95.0,4150,28,33,16900.0
subaru r2,gas,turbo,four,sedan,4wd,front,97.0,maroon,172.0,65.4,54.3,2510,4.0,108,7.7,111.0,4800,24,29,11259.0
bmw x3,gas,std,four,sedan,rwd,front,101.2,blue,176.8,64.8,54.3,2765,6.0,164,9.0,121.0,4250,21,28,21105.0
plymouth fury iii,gas,std,two,hatchback,fwd,front,93.7,maroon,157.3,63.8,50.8,1918,4.0,90,9.4,68.0,5500,37,41,5572.0
porsche macan,gas,std,two,hatchback,rwd,front,94.5,silver,168.9,68.3,50.2,2778,4.0,151,9.5,143.0,5500,19,27,22018.0
plymouth fury iii,gas,std,four,hatchback,fwd,front,93.7,blue,157.3,63.8,50.6,1967,4.0,90,9.4,68.0,5500,31,38,6229.0
mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8,maroon,177.8,66.5,55.5,2443,4.0,122,22.7,64.0,4650,36,42,10795.0
nissan gt-r,diesel,std,two,sedan,fwd,front,94.5,green,165.3,63.8,54.5,2017,4.361233480176211,103,21.9,55.0,4800,45,50,7103.0
mazda rx2 coupe,gas,std,two,hatchback,fwd,front,93.1,lime,159.1,64.2,54.1,1905,4.0,91,9.0,68.0,5000,31,38,6795.0
toyota starlet,gas,std,four,sedan,rwd,front,104.5,white,187.8,66.5,54.1,3131,6.0,171,9.2,156.0,5200,20,24,15690.0
peugeot 504,gas,std,four,wagon,rwd,front,114.2,yellow,173.64155844155832,68.4,56.7,3285,4.0,120,8.4,95.0,5000,19,24,16761.0
toyota corolla liftback,gas,std,two,hatchback,rwd,front,102.9,purple,183.5,67.7,52.0,2976,6.0,171,9.3,161.0,5200,20,24,16558.0
buick century special,gas,std,four,sedan,rwd,front,120.9,gray,208.1,71.7,56.7,3900,8.0,308,8.0,184.0,4500,14,16,40960.0
toyota corolla,gas,std,two,hardtop,rwd,front,98.4,aqua,176.2,65.6,52.0,2536,4.0,146,9.3,116.0,4800,24,30,9639.0
honda civic (auto),gas,std,two,sedan,fwd,front,96.5,olive,169.1,66.0,51.0,2293,4.0,110,9.1,100.0,5500,25,31,10345.0
toyota corona mark ii,gas,std,two,hatchback,fwd,front,95.7,green,158.7,63.6,54.5,1985,4.0,92,9.0,62.0,4800,35,39,5348.0
toyota corolla tercel,gas,std,two,hatchback,rwd,front,94.5,green,168.7,64.0,52.6,2300,4.0,98,9.4,112.0,6600,26,29,9538.0
toyota corona,gas,std,two,hatchback,fwd,front,95.7,silver,158.7,63.6,54.5,2040,4.361233480176211,92,9.0,62.0,4800,31,38,6288.0
